household_id,day,score,top_sensor,top_weight
H04,2025-01-16,5.4001808166503906e-05,H04_S01,0.9440332651138306
H04,2025-01-17,8.404254913330078e-06,H04_S01,0.944158136844635
H04,2025-01-18,3.319978713989258e-05,H04_S01,0.9442499279975891
H04,2025-01-19,6.556510925292969e-07,H04_S01,0.9442258477210999
H04,2025-01-20,1.1920928955078125e-07,H04_S01,0.9442048668861389
H04,2025-01-21,8.344650268554688e-07,H04_S01,0.9442342519760132
H04,2025-01-22,1.4960765838623047e-05,H04_S01,0.9441498517990112
H04,2025-01-23,8.821487426757812e-06,H04_S01,0.9441729784011841
H04,2025-01-24,7.331371307373047e-06,H04_S01,0.9441477060317993
H04,2025-01-25,4.780292510986328e-05,H04_S01,0.9443333148956299
H04,2025-01-26,4.547834396362305e-05,H04_S01,0.9442191123962402
H04,2025-01-27,0.0,H04_S01,0.9442296624183655
H04,2025-01-28,7.62939453125e-06,H04_S01,0.9442208409309387
H04,2025-01-29,2.5033950805664062e-05,H04_S01,0.944242537021637
H04,2025-01-30,2.300739288330078e-05,H04_S01,0.9442166090011597
H04,2025-01-31,3.9637088775634766e-05,H04_S01,0.9441950917243958
H04,2025-02-01,2.8371810913085938e-05,H04_S01,0.9442659020423889
H04,2025-02-02,6.139278411865234e-06,H04_S01,0.9441661834716797
H04,2025-02-03,6.9141387939453125e-06,H04_S01,0.944141685962677
H04,2025-02-04,7.3909759521484375e-06,H04_S01,0.9442449808120728
H04,2025-02-05,4.673004150390625e-05,H04_S01,0.9440969228744507
H04,2025-02-06,6.020069122314453e-06,H04_S01,0.9441752433776855
H04,2025-02-07,2.193450927734375e-05,H04_S01,0.9440264701843262
H04,2025-02-08,0.00011444091796875,H04_S01,0.9440893530845642
H04,2025-02-09,4.184246063232422e-05,H04_S01,0.9442670941352844
H04,2025-02-10,2.384185791015625e-07,H04_S01,0.9442880153656006
H04,2025-02-11,5.185604095458984e-06,H04_S01,0.9441887140274048
H04,2025-02-12,6.9141387939453125e-06,H04_S01,0.944263756275177
H04,2025-02-13,1.0073184967041016e-05,H04_S01,0.9442079663276672
H04,2025-02-14,9.447336196899414e-05,H04_S01,0.9442572593688965
H05,2025-01-02,0.00013566017150878906,H05_S01,0.9440234303474426
H05,2025-01-03,8.112192153930664e-05,H05_S01,0.9442726969718933
H05,2025-01-04,2.6524066925048828e-05,H05_S01,0.94412761926651
H05,2025-01-05,6.67572021484375e-06,H05_S01,0.9441874623298645
H05,2025-01-06,3.0994415283203125e-06,H05_S01,0.9441877007484436
H05,2025-01-07,5.185604095458984e-06,H05_S01,0.9441297650337219
H05,2025-01-08,5.424022674560547e-06,H05_S01,0.9441755414009094
H05,2025-01-09,7.450580596923828e-06,H05_S01,0.9442687630653381
H05,2025-01-10,4.5180320739746094e-05,H05_S01,0.9441590905189514
H05,2025-01-11,5.066394805908203e-06,H05_S01,0.9442563056945801
H05,2025-01-12,2.002716064453125e-05,H05_S01,0.944383978843689
H05,2025-01-13,6.03795051574707e-05,H05_S01,0.9441417455673218
H05,2025-01-14,2.0265579223632812e-05,H05_S01,0.9440872669219971
H05,2025-01-15,3.2782554626464844e-05,H05_S01,0.9440630078315735
H05,2025-01-16,2.3245811462402344e-05,H05_S01,0.9442781209945679
H05,2025-01-17,3.975629806518555e-05,H05_S01,0.9441187977790833
H05,2025-01-18,1.2516975402832031e-06,H05_S01,0.9441684484481812
H05,2025-01-19,4.947185516357422e-05,H05_S01,0.9441500306129456
H05,2025-01-20,8.821487426757812e-06,H05_S01,0.9442169070243835
H05,2025-01-21,1.8835067749023438e-05,H05_S01,0.9443554878234863
H05,2025-01-22,1.2278556823730469e-05,H05_S01,0.9442586898803711
H05,2025-01-23,1.704692840576172e-05,H05_S01,0.9441952109336853
H05,2025-01-24,4.315376281738281e-05,H05_S01,0.9441834092140198
H05,2025-01-25,4.2319297790527344e-05,H05_S01,0.9442433714866638
H05,2025-01-26,5.626678466796875e-05,H05_S01,0.9442811012268066
H05,2025-01-27,0.00011712312698364258,H05_S01,0.9442024230957031
H05,2025-01-28,1.2218952178955078e-05,H05_S01,0.9440522789955139
H05,2025-01-29,4.315376281738281e-05,H05_S01,0.9442816376686096
H05,2025-01-30,2.396106719970703e-05,H05_S01,0.9441272020339966
H05,2025-01-31,4.017353057861328e-05,H05_S01,0.9441891312599182
H05,2025-02-01,1.3709068298339844e-05,H05_S01,0.944110095500946
H05,2025-02-02,2.9802322387695312e-06,H05_S01,0.9441769123077393
H05,2025-02-03,4.124641418457031e-05,H05_S01,0.9442867040634155
H05,2025-02-04,8.344650268554688e-07,H05_S01,0.9443151950836182
H05,2025-02-05,3.516674041748047e-05,H05_S01,0.9442424178123474
H05,2025-02-06,2.4378299713134766e-05,H05_S01,0.9442849159240723
H05,2025-02-07,4.494190216064453e-05,H05_S01,0.9441174268722534
H05,2025-02-08,6.717443466186523e-05,H05_S01,0.9443009495735168
H05,2025-02-09,1.3709068298339844e-06,H05_S01,0.9442670941352844
H05,2025-02-10,1.2516975402832031e-06,H05_S01,0.9442976713180542
H05,2025-02-11,3.0219554901123047e-05,H05_S01,0.9441607594490051
H05,2025-02-12,1.9073486328125e-06,H05_S01,0.9441008567810059
H05,2025-02-13,2.849102020263672e-05,H05_S01,0.9443018436431885
H05,2025-02-14,2.1517276763916016e-05,H05_S01,0.944162905216217
